input_cif,action_prompt,output_cif
mp-1042158.cif,Rotate all surrounding atoms within 3.292536707794407 of the center atom at index 4 by 114.73031650982433 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1042158_processed.cif
mp-1042205.cif,Rotate all surrounding atoms within 3.7252371781404165 of the center atom at index 20 by 78.44268437781456 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1042205_processed.cif
mp-1042378.cif,Rotate all surrounding atoms within 3.971522889621202 of the center atom at index 39 by 308.0283779778946 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1042378_processed.cif
mp-1042415.cif,Rotate all surrounding atoms within 3.365489634585173 of the center atom at index 54 by 198.1804166626692 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1042415_processed.cif
mp-1042656.cif,Rotate all surrounding atoms within 3.3471133496053502 of the center atom at index 21 by 128.03226688430618 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1042656_processed.cif
mp-1042677.cif,Rotate all surrounding atoms within 2.074781240798001 of the center atom at index 17 by 213.1730577357832 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1042677_processed.cif
mp-1042685.cif,Rotate all surrounding atoms within 2.8135437615318333 of the center atom at index 39 by 146.00024606397076 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1042685_processed.cif
mp-1042896.cif,Rotate all surrounding atoms within 2.132607333000756 of the center atom at index 12 by 87.16386666869411 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1042896_processed.cif
mp-1043828.cif,Rotate all surrounding atoms within 2.9716001200812716 of the center atom at index 16 by 259.6939317305101 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1043828_processed.cif
mp-1044049.cif,Rotate all surrounding atoms within 3.1972697185771484 of the center atom at index 24 by 287.9061679368551 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1044049_processed.cif
mp-1044636.cif,Rotate all surrounding atoms within 3.550886827129214 of the center atom at index 41 by 46.6843758576436 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1044636_processed.cif
mp-1045786.cif,Rotate all surrounding atoms within 2.233423970967652 of the center atom at index 17 by 253.3018347600148 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1045786_processed.cif
mp-1045992.cif,Rotate all surrounding atoms within 2.2834415762473133 of the center atom at index 4 by 225.80804390853945 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1045992_processed.cif
mp-1046286.cif,Rotate all surrounding atoms within 3.961224329985501 of the center atom at index 15 by 304.26798099657213 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1046286_processed.cif
mp-1047007.cif,Rotate all surrounding atoms within 2.5223689218526926 of the center atom at index 5 by 63.587177854707704 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1047007_processed.cif
mp-1047085.cif,Rotate all surrounding atoms within 1.9942016390891637 of the center atom at index 17 by 281.2119031049673 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1047085_processed.cif
mp-1047504.cif,Rotate all surrounding atoms within 2.7688967192105034 of the center atom at index 9 by 93.76901729669083 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1047504_processed.cif
mp-1047641.cif,Rotate all surrounding atoms within 3.859680009115513 of the center atom at index 5 by 304.913947682756 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1047641_processed.cif
mp-1047798.cif,Rotate all surrounding atoms within 3.8847087975687193 of the center atom at index 0 by 83.69419277421716 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1047798_processed.cif
mp-1048141.cif,Rotate all surrounding atoms within 2.790626490380529 of the center atom at index 15 by 265.75367835066834 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1048141_processed.cif
mp-1048241.cif,Rotate all surrounding atoms within 3.860316048949813 of the center atom at index 7 by 115.10496871274842 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1048241_processed.cif
mp-1048742.cif,Rotate all surrounding atoms within 2.3002446575667572 of the center atom at index 12 by 239.92739512660913 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1048742_processed.cif
mp-1048819.cif,Rotate all surrounding atoms within 2.1595935336524557 of the center atom at index 22 by 256.6961193376344 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1048819_processed.cif
mp-10543.cif,Rotate all surrounding atoms within 3.666847547423294 of the center atom at index 3 by 110.87601460256434 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-10543_processed.cif
mp-1073454.cif,Rotate all surrounding atoms within 3.940943009693793 of the center atom at index 14 by 176.89865313183859 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1073454_processed.cif
mp-1073857.cif,Rotate all surrounding atoms within 3.616335248499562 of the center atom at index 3 by 301.7917399993094 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1073857_processed.cif
mp-1074382.cif,Rotate all surrounding atoms within 3.566136936878327 of the center atom at index 8 by 222.62832515075254 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1074382_processed.cif
mp-1075115.cif,Rotate all surrounding atoms within 3.7069477925453245 of the center atom at index 1 by 122.43316004052676 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1075115_processed.cif
mp-1076171.cif,Rotate all surrounding atoms within 1.9687650093937763 of the center atom at index 25 by 49.324808478713265 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1076171_processed.cif
mp-1076264.cif,Rotate all surrounding atoms within 2.973039244042536 of the center atom at index 39 by 251.08320819782756 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1076264_processed.cif
mp-1080179.cif,Rotate all surrounding atoms within 3.5280113582108754 of the center atom at index 0 by 106.39236012099587 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1080179_processed.cif
mp-1080349.cif,Rotate all surrounding atoms within 3.022908121952233 of the center atom at index 6 by 108.82513649695792 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1080349_processed.cif
mp-1080354.cif,Rotate all surrounding atoms within 3.4891797039669346 of the center atom at index 18 by 274.32482685650825 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1080354_processed.cif
mp-1080713.cif,Rotate all surrounding atoms within 3.6535010246411836 of the center atom at index 5 by 131.85363271571418 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1080713_processed.cif
mp-1094804.cif,Rotate all surrounding atoms within 3.281635553281414 of the center atom at index 4 by 161.80006839559343 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1094804_processed.cif
mp-1095083.cif,Rotate all surrounding atoms within 3.6236361576648206 of the center atom at index 5 by 211.26402139363208 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1095083_processed.cif
mp-1095476.cif,Rotate all surrounding atoms within 3.511839551720808 of the center atom at index 5 by 274.1587532281454 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1095476_processed.cif
mp-1095575.cif,Rotate all surrounding atoms within 3.6414556656218844 of the center atom at index 8 by 237.21110015495256 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1095575_processed.cif
mp-1095585.cif,Rotate all surrounding atoms within 3.5700651305721327 of the center atom at index 0 by 160.07308797461957 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1095585_processed.cif
mp-1095643.cif,Rotate all surrounding atoms within 3.7600798761974206 of the center atom at index 1 by 134.48330837475484 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1095643_processed.cif
mp-1095675.cif,Rotate all surrounding atoms within 3.782022883321215 of the center atom at index 4 by 90.06736044275772 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1095675_processed.cif
mp-1095677.cif,Rotate all surrounding atoms within 3.740664416216312 of the center atom at index 11 by 130.28340569270114 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1095677_processed.cif
mp-1096913.cif,Rotate all surrounding atoms within 3.7848064600953126 of the center atom at index 5 by 224.16250048878635 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1096913_processed.cif
mp-1099100.cif,Rotate all surrounding atoms within 3.0572998813307075 of the center atom at index 13 by 273.37404652493586 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1099100_processed.cif
mp-1100340.cif,Rotate all surrounding atoms within 2.9827645380408985 of the center atom at index 14 by 105.5135071544316 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1100340_processed.cif
mp-1100512.cif,Rotate all surrounding atoms within 2.440534652878889 of the center atom at index 28 by 229.56624557277783 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1100512_processed.cif
mp-1100602.cif,Rotate all surrounding atoms within 2.961208205191598 of the center atom at index 16 by 314.22385909197953 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1100602_processed.cif
mp-1100645.cif,Rotate all surrounding atoms within 2.4658861825118317 of the center atom at index 6 by 165.71394140128666 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1100645_processed.cif
mp-1100655.cif,Rotate all surrounding atoms within 2.3499462637658812 of the center atom at index 22 by 88.01732626306864 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1100655_processed.cif
mp-1100709.cif,Rotate all surrounding atoms within 3.344523621722762 of the center atom at index 3 by 160.5705427956802 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1100709_processed.cif
mp-1100895.cif,Rotate all surrounding atoms within 3.6689698684292864 of the center atom at index 12 by 60.83673439571994 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1100895_processed.cif
mp-1101365.cif,Rotate all surrounding atoms within 2.679156691423546 of the center atom at index 58 by 111.64640369673958 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1101365_processed.cif
mp-1101490.cif,Rotate all surrounding atoms within 3.578870915158018 of the center atom at index 14 by 147.51344432498158 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1101490_processed.cif
mp-1101729.cif,Rotate all surrounding atoms within 2.6234468416062127 of the center atom at index 56 by 241.72813358215345 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1101729_processed.cif
mp-1101899.cif,Rotate all surrounding atoms within 2.9806929103655038 of the center atom at index 5 by 310.305026006973 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1101899_processed.cif
mp-1102433.cif,Rotate all surrounding atoms within 3.8787429328764516 of the center atom at index 5 by 311.31543140319036 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1102433_processed.cif
mp-1102534.cif,Rotate all surrounding atoms within 2.369920606911306 of the center atom at index 2 by 226.7163639423227 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1102534_processed.cif
mp-1102795.cif,Rotate all surrounding atoms within 3.3919861544663026 of the center atom at index 10 by 135.80897399386623 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1102795_processed.cif
mp-1102865.cif,Rotate all surrounding atoms within 2.312211518017517 of the center atom at index 0 by 144.74855417149948 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1102865_processed.cif
mp-1102948.cif,Rotate all surrounding atoms within 3.9847858860370042 of the center atom at index 1 by 134.40039022515595 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1102948_processed.cif
mp-1102963.cif,Rotate all surrounding atoms within 2.565080046547364 of the center atom at index 9 by 296.86744161244366 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1102963_processed.cif
mp-1103212.cif,Rotate all surrounding atoms within 3.7560599352570034 of the center atom at index 1 by 61.80813014163944 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1103212_processed.cif
mp-1103303.cif,Rotate all surrounding atoms within 3.337383520261283 of the center atom at index 9 by 216.78580562465106 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1103303_processed.cif
mp-1103651.cif,Rotate all surrounding atoms within 3.9322196752443945 of the center atom at index 9 by 88.53203314818373 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1103651_processed.cif
mp-1104386.cif,Rotate all surrounding atoms within 2.1244949512217968 of the center atom at index 11 by 192.16616772093474 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1104386_processed.cif
mp-1104404.cif,Rotate all surrounding atoms within 2.8821303609611775 of the center atom at index 0 by 253.30649402179893 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1104404_processed.cif
mp-1104448.cif,Rotate all surrounding atoms within 3.835719951271204 of the center atom at index 27 by 213.23544511751365 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1104448_processed.cif
mp-1105372.cif,Rotate all surrounding atoms within 2.2116858949811533 of the center atom at index 0 by 88.09426413949228 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1105372_processed.cif
mp-1105581.cif,Rotate all surrounding atoms within 3.5604303151328107 of the center atom at index 1 by 114.48484704341195 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1105581_processed.cif
mp-1105587.cif,Rotate all surrounding atoms within 3.509555232219295 of the center atom at index 5 by 250.80188092109069 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1105587_processed.cif
mp-1105631.cif,Rotate all surrounding atoms within 2.135499115997919 of the center atom at index 15 by 134.12731355481978 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1105631_processed.cif
mp-1105736.cif,Rotate all surrounding atoms within 3.986991024858635 of the center atom at index 9 by 75.23618869893342 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1105736_processed.cif
mp-1105952.cif,Rotate all surrounding atoms within 2.448308481310973 of the center atom at index 19 by 97.7847122224613 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1105952_processed.cif
mp-1105985.cif,Rotate all surrounding atoms within 3.5319353399083795 of the center atom at index 15 by 208.4533160520814 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1105985_processed.cif
mp-1106159.cif,Rotate all surrounding atoms within 3.764090378371801 of the center atom at index 12 by 131.6762027961545 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1106159_processed.cif
mp-1110626.cif,Rotate all surrounding atoms within 2.865074213065059 of the center atom at index 8 by 170.1979840307208 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1110626_processed.cif
mp-1110754.cif,Rotate all surrounding atoms within 3.9266021602826964 of the center atom at index 2 by 128.05687669397847 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1110754_processed.cif
mp-1111211.cif,Rotate all surrounding atoms within 4.09365838916174 of the center atom at index 0 by 182.3890685419076 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1111211_processed.cif
mp-1111610.cif,Rotate all surrounding atoms within 4.038205701187202 of the center atom at index 0 by 172.81596752582846 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1111610_processed.cif
mp-1111940.cif,Rotate all surrounding atoms within 3.6583698185616473 of the center atom at index 0 by 216.46360265858246 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1111940_processed.cif
mp-1112257.cif,Rotate all surrounding atoms within 3.3689217015113275 of the center atom at index 7 by 178.1940605333703 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1112257_processed.cif
mp-1112416.cif,Rotate all surrounding atoms within 2.6054658889337805 of the center atom at index 4 by 258.98682572233133 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1112416_processed.cif
mp-11143.cif,Rotate all surrounding atoms within 3.5511896144005477 of the center atom at index 22 by 265.40972014640425 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-11143_processed.cif
mp-11145.cif,Rotate all surrounding atoms within 3.8497343045090715 of the center atom at index 18 by 67.2412045014441 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-11145_processed.cif
mp-1120749.cif,Rotate all surrounding atoms within 2.368744223808065 of the center atom at index 12 by 280.64869571581823 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1120749_processed.cif
mp-11250.cif,Rotate all surrounding atoms within 3.7037431055774537 of the center atom at index 3 by 78.5181000838981 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-11250_processed.cif
mp-1157680.cif,Rotate all surrounding atoms within 2.075761199434362 of the center atom at index 11 by 197.6502749757689 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1157680_processed.cif
mp-1173361.cif,Rotate all surrounding atoms within 3.3712343001712717 of the center atom at index 1 by 304.11807047599467 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1173361_processed.cif
mp-1173548.cif,Rotate all surrounding atoms within 3.7893968445690938 of the center atom at index 17 by 118.70689525963637 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1173548_processed.cif
mp-1173561.cif,Rotate all surrounding atoms within 2.7953956137320466 of the center atom at index 12 by 188.55269944660668 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1173561_processed.cif
