input_cif,action_prompt,output_cif
mp-1044049.cif,Rotate all surrounding atoms within 2.482482385049955 angstrom of the center atom at index 14 by 141.48167564377945 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1044049_processed.cif
mp-1044636.cif,Rotate all surrounding atoms within 2.294166399969268 angstrom of the center atom at index 43 by 246.73990077492192 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1044636_processed.cif
mp-1045786.cif,Rotate all surrounding atoms within 1.7945839743063403 angstrom of the center atom at index 31 by 46.57317779399282 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1045786_processed.cif
mp-1045992.cif,Rotate all surrounding atoms within 2.5838832076574483 angstrom of the center atom at index 10 by 264.43006463713095 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1045992_processed.cif
mp-1046286.cif,Rotate all surrounding atoms within 3.026858811515926 angstrom of the center atom at index 6 by 305.7546990628015 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1046286_processed.cif
mp-1047007.cif,Rotate all surrounding atoms within 3.2909997949878704 angstrom of the center atom at index 13 by 243.84113600476743 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1047007_processed.cif
mp-1047085.cif,Rotate all surrounding atoms within 3.4818264583719145 angstrom of the center atom at index 2 by 117.3455455080243 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1047085_processed.cif
mp-1047504.cif,Rotate all surrounding atoms within 3.72263109567418 angstrom of the center atom at index 3 by 265.7327214709751 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1047504_processed.cif
mp-1047641.cif,Rotate all surrounding atoms within 2.8403259834950605 angstrom of the center atom at index 5 by 260.8297876914639 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1047641_processed.cif
mp-1047798.cif,Rotate all surrounding atoms within 3.2235637259402115 angstrom of the center atom at index 43 by 247.43138513202558 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1047798_processed.cif
mp-1048141.cif,Rotate all surrounding atoms within 3.8104991341899455 angstrom of the center atom at index 17 by 290.89870896940454 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1048141_processed.cif
mp-1048241.cif,Rotate all surrounding atoms within 2.362479173394216 angstrom of the center atom at index 7 by 117.92330473149464 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1048241_processed.cif
mp-1048742.cif,Rotate all surrounding atoms within 3.495970848162018 angstrom of the center atom at index 17 by 257.22990725552637 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1048742_processed.cif
mp-1048819.cif,Rotate all surrounding atoms within 3.871409686403898 angstrom of the center atom at index 5 by 190.17244182996603 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1048819_processed.cif
mp-10543.cif,Rotate all surrounding atoms within 2.334051937992695 angstrom of the center atom at index 6 by 62.904179260697504 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-10543_processed.cif
mp-1073454.cif,Rotate all surrounding atoms within 3.151971764860933 angstrom of the center atom at index 20 by 272.96756270089594 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1073454_processed.cif
mp-1073857.cif,Rotate all surrounding atoms within 2.7949862758387285 angstrom of the center atom at index 6 by 195.9889437572237 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1073857_processed.cif
mp-1074382.cif,Rotate all surrounding atoms within 2.9200940283335615 angstrom of the center atom at index 9 by 54.9395008943931 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1074382_processed.cif
mp-1075115.cif,Rotate all surrounding atoms within 2.4858852306095183 angstrom of the center atom at index 12 by 46.33700111621266 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1075115_processed.cif
mp-1076171.cif,Rotate all surrounding atoms within 3.832718847686629 angstrom of the center atom at index 2 by 60.655119221232596 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1076171_processed.cif
mp-1076264.cif,Rotate all surrounding atoms within 2.0107599511591383 angstrom of the center atom at index 38 by 77.07698810474679 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1076264_processed.cif
mp-1080179.cif,Rotate all surrounding atoms within 3.060474482282127 angstrom of the center atom at index 3 by 52.75126241005693 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1080179_processed.cif
mp-1080349.cif,Rotate all surrounding atoms within 3.072757160491968 angstrom of the center atom at index 17 by 102.26116086744673 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1080349_processed.cif
mp-1080354.cif,Rotate all surrounding atoms within 3.5169039197176475 angstrom of the center atom at index 23 by 175.307188720561 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1080354_processed.cif
mp-1080713.cif,Rotate all surrounding atoms within 2.975129802976895 angstrom of the center atom at index 3 by 56.99366619138651 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1080713_processed.cif
mp-1094804.cif,Rotate all surrounding atoms within 3.8455441243695834 angstrom of the center atom at index 6 by 100.13562522505103 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1094804_processed.cif
mp-1095083.cif,Rotate all surrounding atoms within 3.6140181676648244 angstrom of the center atom at index 5 by 185.19700059129008 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1095083_processed.cif
mp-1095476.cif,Rotate all surrounding atoms within 3.2041991817090416 angstrom of the center atom at index 9 by 233.29897850713584 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1095476_processed.cif
mp-1095575.cif,Rotate all surrounding atoms within 2.6284674798663876 angstrom of the center atom at index 4 by 168.83803086809328 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1095575_processed.cif
mp-1095585.cif,Rotate all surrounding atoms within 3.9482940376626754 angstrom of the center atom at index 9 by 67.22831066655753 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1095585_processed.cif
mp-1095643.cif,Rotate all surrounding atoms within 3.23930666699515 angstrom of the center atom at index 7 by 246.06799488732622 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1095643_processed.cif
mp-1095675.cif,Rotate all surrounding atoms within 3.454341546907316 angstrom of the center atom at index 10 by 66.3380406839508 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1095675_processed.cif
mp-1095677.cif,Rotate all surrounding atoms within 3.4162576679405237 angstrom of the center atom at index 2 by 130.6466251831677 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1095677_processed.cif
mp-1096913.cif,Rotate all surrounding atoms within 2.630023752388791 angstrom of the center atom at index 9 by 252.3877261897459 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1096913_processed.cif
mp-1099100.cif,Rotate all surrounding atoms within 3.2316500253994094 angstrom of the center atom at index 10 by 183.47921783914103 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1099100_processed.cif
mp-1100340.cif,Rotate all surrounding atoms within 3.8666744722128876 angstrom of the center atom at index 2 by 160.58203233105684 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1100340_processed.cif
mp-1100512.cif,Rotate all surrounding atoms within 2.4864192764952353 angstrom of the center atom at index 20 by 65.00969510403809 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1100512_processed.cif
mp-1100602.cif,Rotate all surrounding atoms within 2.738431465014632 angstrom of the center atom at index 9 by 56.402768827632585 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1100602_processed.cif
mp-1100645.cif,Rotate all surrounding atoms within 2.5823572581180247 angstrom of the center atom at index 21 by 291.55612819234193 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1100645_processed.cif
mp-1100655.cif,Rotate all surrounding atoms within 2.428980050016671 angstrom of the center atom at index 14 by 121.39345689333692 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1100655_processed.cif
mp-1100709.cif,Rotate all surrounding atoms within 3.4217948720358837 angstrom of the center atom at index 1 by 133.57552982471398 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1100709_processed.cif
mp-1100895.cif,Rotate all surrounding atoms within 2.9284968698002127 angstrom of the center atom at index 2 by 92.56789921925875 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1100895_processed.cif
mp-1101365.cif,Rotate all surrounding atoms within 2.781610384999836 angstrom of the center atom at index 2 by 113.1441761455919 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1101365_processed.cif
mp-1101490.cif,Rotate all surrounding atoms within 2.7858438131745675 angstrom of the center atom at index 44 by 294.74801113597545 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1101490_processed.cif
mp-1101729.cif,Rotate all surrounding atoms within 2.9640370496390194 angstrom of the center atom at index 22 by 256.33038525623135 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1101729_processed.cif
mp-1101899.cif,Rotate all surrounding atoms within 2.8257614857355655 angstrom of the center atom at index 1 by 140.1105570311001 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1101899_processed.cif
mp-1102433.cif,Rotate all surrounding atoms within 3.87494064145017 angstrom of the center atom at index 3 by 271.9515159850424 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1102433_processed.cif
mp-1102534.cif,Rotate all surrounding atoms within 2.6751236726030925 angstrom of the center atom at index 5 by 48.45580212094491 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1102534_processed.cif
mp-1102795.cif,Rotate all surrounding atoms within 3.7498219416361853 angstrom of the center atom at index 0 by 69.19283580638783 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1102795_processed.cif
mp-1102865.cif,Rotate all surrounding atoms within 3.098312512411666 angstrom of the center atom at index 9 by 141.31144913996224 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1102865_processed.cif
mp-1102948.cif,Rotate all surrounding atoms within 3.9302645822934315 angstrom of the center atom at index 11 by 126.8391196692324 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1102948_processed.cif
mp-1102963.cif,Rotate all surrounding atoms within 2.519869699552247 angstrom of the center atom at index 7 by 303.20555740927915 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1102963_processed.cif
mp-1103212.cif,Rotate all surrounding atoms within 2.96661063193936 angstrom of the center atom at index 5 by 311.6177411258137 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1103212_processed.cif
mp-1103303.cif,Rotate all surrounding atoms within 3.639038058575089 angstrom of the center atom at index 2 by 142.92412033767138 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1103303_processed.cif
mp-1103651.cif,Rotate all surrounding atoms within 3.1805959757876145 angstrom of the center atom at index 1 by 126.62247845015146 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1103651_processed.cif
mp-1104386.cif,Rotate all surrounding atoms within 2.675396394777849 angstrom of the center atom at index 5 by 76.82432836530388 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1104386_processed.cif
mp-1104404.cif,Rotate all surrounding atoms within 2.6881792209196096 angstrom of the center atom at index 8 by 293.9339902825074 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1104404_processed.cif
mp-1104448.cif,Rotate all surrounding atoms within 3.0517491126736465 angstrom of the center atom at index 23 by 102.87212213209031 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1104448_processed.cif
mp-1105372.cif,Rotate all surrounding atoms within 3.545215805931017 angstrom of the center atom at index 5 by 204.7693247617656 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1105372_processed.cif
mp-1105581.cif,Rotate all surrounding atoms within 2.874097847309089 angstrom of the center atom at index 0 by 126.23529378599642 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1105581_processed.cif
mp-1105587.cif,Rotate all surrounding atoms within 3.720378139159179 angstrom of the center atom at index 11 by 122.39096968982113 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1105587_processed.cif
mp-1105631.cif,Rotate all surrounding atoms within 2.2130210055715738 angstrom of the center atom at index 8 by 150.29873984147076 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1105631_processed.cif
mp-1105736.cif,Rotate all surrounding atoms within 3.848572488262956 angstrom of the center atom at index 13 by 97.63926769696559 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1105736_processed.cif
mp-1105952.cif,Rotate all surrounding atoms within 3.7258595586407512 angstrom of the center atom at index 27 by 310.524007112451 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1105952_processed.cif
mp-1105985.cif,Rotate all surrounding atoms within 3.4646691073870057 angstrom of the center atom at index 14 by 126.44241390995724 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1105985_processed.cif
mp-1106159.cif,Rotate all surrounding atoms within 3.673868899657599 angstrom of the center atom at index 11 by 125.76396501685387 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1106159_processed.cif
mp-1110626.cif,Rotate all surrounding atoms within 1.9500375815941906 angstrom of the center atom at index 9 by 254.43370761573564 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1110626_processed.cif
mp-1110754.cif,Rotate all surrounding atoms within 3.5747199180794857 angstrom of the center atom at index 6 by 241.29372032373914 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1110754_processed.cif
mp-1111211.cif,Rotate all surrounding atoms within 3.450845122346196 angstrom of the center atom at index 9 by 184.45470445548438 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1111211_processed.cif
mp-1111610.cif,Rotate all surrounding atoms within 3.5786851093983807 angstrom of the center atom at index 4 by 49.13207740510311 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1111610_processed.cif
mp-1111940.cif,Rotate all surrounding atoms within 3.2456596806860416 angstrom of the center atom at index 0 by 264.73540715389436 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1111940_processed.cif
mp-1112257.cif,Rotate all surrounding atoms within 2.182309660796029 angstrom of the center atom at index 2 by 82.56460630581546 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1112257_processed.cif
mp-1112416.cif,Rotate all surrounding atoms within 3.532692529918606 angstrom of the center atom at index 5 by 109.4976744723672 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1112416_processed.cif
mp-11143.cif,Rotate all surrounding atoms within 3.0822200314767785 angstrom of the center atom at index 19 by 148.94100220018345 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-11143_processed.cif
mp-11145.cif,Rotate all surrounding atoms within 3.8784396285684655 angstrom of the center atom at index 15 by 145.69647819131876 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-11145_processed.cif
mp-1120749.cif,Rotate all surrounding atoms within 2.2760691257922687 angstrom of the center atom at index 9 by 203.9093542820767 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1120749_processed.cif
