input_cif,action_prompt,output_cif
mp-1102865.cif,Create a supercell with the size 1 by 2 by 1.,mp-1102865_processed.cif
mp-1102948.cif,Create a supercell with the size 2x4x1.,mp-1102948_processed.cif
mp-1102963.cif,Create a supercell with the size 2 by 3 by 1.,mp-1102963_processed.cif
mp-1103212.cif,Create a supercell with the size 2X2X1.,mp-1103212_processed.cif
mp-1103303.cif,Create a supercell with the size 1×4×2.,mp-1103303_processed.cif
mp-1103651.cif,Create a supercell with the size 2*1*4.,mp-1103651_processed.cif
mp-1104386.cif,Create a supercell with the size 2 by 2 by 2.,mp-1104386_processed.cif
mp-1104404.cif,Create a supercell with the size 3*1*2.,mp-1104404_processed.cif
mp-1104448.cif,Create a supercell with the size 1X3X2.,mp-1104448_processed.cif
mp-1105372.cif,Create a supercell with the size 2x1x3.,mp-1105372_processed.cif
mp-1105581.cif,Create a supercell with the size 2 by 2 by 2.,mp-1105581_processed.cif
mp-1105587.cif,Create a supercell with the size 1×2×2.,mp-1105587_processed.cif
mp-1105631.cif,Create a supercell with the size 1*4*1.,mp-1105631_processed.cif
mp-1105736.cif,Create a supercell with the size 2*2*2.,mp-1105736_processed.cif
mp-1105952.cif,Create a supercell with the size 4*2*1.,mp-1105952_processed.cif
mp-1105985.cif,Create a supercell with the size 3x1x1.,mp-1105985_processed.cif
mp-1106159.cif,Create a supercell with the size 1*4*1.,mp-1106159_processed.cif
mp-1110626.cif,Create a supercell with the size 3×1×1.,mp-1110626_processed.cif
mp-1110754.cif,Create a supercell with the size 4X1X1.,mp-1110754_processed.cif
mp-1111211.cif,Create a supercell with the size 1X2X3.,mp-1111211_processed.cif
mp-1111610.cif,Create a supercell with the size 1*2*1.,mp-1111610_processed.cif
mp-1111940.cif,Create a supercell with the size 1x2x1.,mp-1111940_processed.cif
mp-1112257.cif,Create a supercell with the size 2x1x2.,mp-1112257_processed.cif
mp-1112416.cif,Create a supercell with the size 2X1X3.,mp-1112416_processed.cif
mp-11143.cif,Create a supercell with the size 3*1*1.,mp-11143_processed.cif
mp-11145.cif,Create a supercell with the size 1 by 1 by 2.,mp-11145_processed.cif
mp-1120749.cif,Create a supercell with the size 1X2X3.,mp-1120749_processed.cif
mp-11250.cif,Create a supercell with the size 2X1X4.,mp-11250_processed.cif
mp-1157680.cif,Create a supercell with the size 1x4x1.,mp-1157680_processed.cif
mp-1173361.cif,Create a supercell with the size 1×3×1.,mp-1173361_processed.cif
mp-1173548.cif,Create a supercell with the size 3 by 1 by 1.,mp-1173548_processed.cif
mp-1173561.cif,Create a supercell with the size 1x2x2.,mp-1173561_processed.cif
mp-1173706.cif,Create a supercell with the size 4X1X2.,mp-1173706_processed.cif
mp-1173883.cif,Create a supercell with the size 3X1X2.,mp-1173883_processed.cif
mp-1174010.cif,Create a supercell with the size 1*4*1.,mp-1174010_processed.cif
mp-1174079.cif,Create a supercell with the size 1 by 2 by 3.,mp-1174079_processed.cif
mp-1174299.cif,Create a supercell with the size 1×4×1.,mp-1174299_processed.cif
mp-1174536.cif,Create a supercell with the size 1×3×1.,mp-1174536_processed.cif
mp-1174549.cif,Create a supercell with the size 1X2X1.,mp-1174549_processed.cif
mp-1174561.cif,Create a supercell with the size 1x2x1.,mp-1174561_processed.cif
mp-1174631.cif,Create a supercell with the size 2×1×1.,mp-1174631_processed.cif
mp-1174708.cif,Create a supercell with the size 1*2*2.,mp-1174708_processed.cif
mp-1175060.cif,Create a supercell with the size 1x1x4.,mp-1175060_processed.cif
mp-1175670.cif,Create a supercell with the size 1X4X1.,mp-1175670_processed.cif
mp-1175676.cif,Create a supercell with the size 1X3X1.,mp-1175676_processed.cif
mp-1175716.cif,Create a supercell with the size 2×1×2.,mp-1175716_processed.cif
mp-1176074.cif,Create a supercell with the size 2X2X2.,mp-1176074_processed.cif
mp-1176243.cif,Create a supercell with the size 3*1*1.,mp-1176243_processed.cif
mp-1176471.cif,Create a supercell with the size 1×2×3.,mp-1176471_processed.cif
mp-1176486.cif,Create a supercell with the size 2 by 2 by 1.,mp-1176486_processed.cif
mp-1176593.cif,Create a supercell with the size 4×1×2.,mp-1176593_processed.cif
mp-1176664.cif,Create a supercell with the size 4x1x2.,mp-1176664_processed.cif
mp-1176678.cif,Create a supercell with the size 4X1X2.,mp-1176678_processed.cif
mp-1176692.cif,Create a supercell with the size 4 by 2 by 1.,mp-1176692_processed.cif
mp-1176965.cif,Create a supercell with the size 2*3*1.,mp-1176965_processed.cif
mp-1177279.cif,Create a supercell with the size 2×1×3.,mp-1177279_processed.cif
mp-1177537.cif,Create a supercell with the size 3X2X1.,mp-1177537_processed.cif
mp-1177559.cif,Create a supercell with the size 1 by 1 by 3.,mp-1177559_processed.cif
mp-1177564.cif,Create a supercell with the size 1x4x2.,mp-1177564_processed.cif
mp-1177801.cif,Create a supercell with the size 2x1x2.,mp-1177801_processed.cif
mp-1178026.cif,Create a supercell with the size 1×2×4.,mp-1178026_processed.cif
mp-1178085.cif,Create a supercell with the size 2X3X1.,mp-1178085_processed.cif
mp-1178148.cif,Create a supercell with the size 1×2×1.,mp-1178148_processed.cif
mp-1178259.cif,Create a supercell with the size 2X1X3.,mp-1178259_processed.cif
mp-1178586.cif,Create a supercell with the size 4x1x1.,mp-1178586_processed.cif
mp-1180130.cif,Create a supercell with the size 3 by 2 by 1.,mp-1180130_processed.cif
mp-1180252.cif,Create a supercell with the size 2x2x1.,mp-1180252_processed.cif
mp-1180744.cif,Create a supercell with the size 3*2*1.,mp-1180744_processed.cif
mp-1180763.cif,Create a supercell with the size 3*1*2.,mp-1180763_processed.cif
mp-1181255.cif,Create a supercell with the size 1×1×4.,mp-1181255_processed.cif
mp-1181584.cif,Create a supercell with the size 1*2*4.,mp-1181584_processed.cif
mp-1182011.cif,Create a supercell with the size 2*1*4.,mp-1182011_processed.cif
mp-1182045.cif,Create a supercell with the size 1*4*1.,mp-1182045_processed.cif
mp-1182066.cif,Create a supercell with the size 1x2x2.,mp-1182066_processed.cif
mp-1182302.cif,Create a supercell with the size 1X4X1.,mp-1182302_processed.cif
mp-1182516.cif,Create a supercell with the size 3*1*2.,mp-1182516_processed.cif
mp-1182952.cif,Create a supercell with the size 4×2×1.,mp-1182952_processed.cif
mp-1182993.cif,Create a supercell with the size 2 by 1 by 1.,mp-1182993_processed.cif
mp-1185691.cif,Create a supercell with the size 3x1x1.,mp-1185691_processed.cif
mp-1185729.cif,Create a supercell with the size 1 by 4 by 2.,mp-1185729_processed.cif
mp-1185730.cif,Create a supercell with the size 2*1*3.,mp-1185730_processed.cif
mp-1186069.cif,Create a supercell with the size 2×1×3.,mp-1186069_processed.cif
mp-1188168.cif,Create a supercell with the size 4 by 1 by 1.,mp-1188168_processed.cif
mp-1188839.cif,Create a supercell with the size 4*1*2.,mp-1188839_processed.cif
mp-1189137.cif,Create a supercell with the size 1X3X1.,mp-1189137_processed.cif
mp-1189325.cif,Create a supercell with the size 3x2x1.,mp-1189325_processed.cif
mp-1189617.cif,Create a supercell with the size 1×1×2.,mp-1189617_processed.cif
mp-1190360.cif,Create a supercell with the size 1X1X4.,mp-1190360_processed.cif
mp-1190450.cif,Create a supercell with the size 1 by 3 by 2.,mp-1190450_processed.cif
mp-1190471.cif,Create a supercell with the size 1X2X2.,mp-1190471_processed.cif
mp-1190593.cif,Create a supercell with the size 1X2X2.,mp-1190593_processed.cif
mp-1190765.cif,Create a supercell with the size 1x3x2.,mp-1190765_processed.cif
mp-1190906.cif,Create a supercell with the size 2*2*1.,mp-1190906_processed.cif
mp-1191263.cif,Create a supercell with the size 4x1x1.,mp-1191263_processed.cif
mp-1191575.cif,Create a supercell with the size 1x3x2.,mp-1191575_processed.cif
mp-1191633.cif,Create a supercell with the size 4X2X1.,mp-1191633_processed.cif
mp-1191681.cif,Create a supercell with the size 3×1×2.,mp-1191681_processed.cif
mp-1192077.cif,Create a supercell with the size 1 by 3 by 1.,mp-1192077_processed.cif
mp-1192111.cif,Create a supercell with the size 1x1x2.,mp-1192111_processed.cif
mp-1192527.cif,Create a supercell with the size 1X3X1.,mp-1192527_processed.cif
mp-1192550.cif,Create a supercell with the size 2*2*2.,mp-1192550_processed.cif
mp-1192556.cif,Create a supercell with the size 2*2*1.,mp-1192556_processed.cif
mp-1192588.cif,Create a supercell with the size 2*4*1.,mp-1192588_processed.cif
mp-1192755.cif,Create a supercell with the size 2x2x2.,mp-1192755_processed.cif
mp-1192984.cif,Create a supercell with the size 3X1X2.,mp-1192984_processed.cif
mp-1193276.cif,Create a supercell with the size 2 by 3 by 1.,mp-1193276_processed.cif
mp-1193461.cif,Create a supercell with the size 2x2x1.,mp-1193461_processed.cif
mp-1193658.cif,Create a supercell with the size 1 by 2 by 3.,mp-1193658_processed.cif
mp-1193669.cif,Create a supercell with the size 1X4X2.,mp-1193669_processed.cif
mp-1193753.cif,Create a supercell with the size 1X2X1.,mp-1193753_processed.cif
mp-1194315.cif,Create a supercell with the size 3 by 1 by 2.,mp-1194315_processed.cif
mp-1194467.cif,Create a supercell with the size 2x1x1.,mp-1194467_processed.cif
mp-1194648.cif,Create a supercell with the size 3×1×1.,mp-1194648_processed.cif
mp-1194808.cif,Create a supercell with the size 1x1x3.,mp-1194808_processed.cif
mp-1194897.cif,Create a supercell with the size 2x1x3.,mp-1194897_processed.cif
mp-1194954.cif,Create a supercell with the size 2×1×2.,mp-1194954_processed.cif
mp-1195087.cif,Create a supercell with the size 2X1X3.,mp-1195087_processed.cif
mp-1195106.cif,Create a supercell with the size 2×1×1.,mp-1195106_processed.cif
mp-1195319.cif,Create a supercell with the size 2×1×2.,mp-1195319_processed.cif
mp-1195337.cif,Create a supercell with the size 1X1X3.,mp-1195337_processed.cif
mp-1195540.cif,Create a supercell with the size 1x4x2.,mp-1195540_processed.cif
mp-1195827.cif,Create a supercell with the size 1X2X1.,mp-1195827_processed.cif
mp-1195929.cif,Create a supercell with the size 1*1*3.,mp-1195929_processed.cif
mp-1195965.cif,Create a supercell with the size 2 by 1 by 4.,mp-1195965_processed.cif
mp-1195967.cif,Create a supercell with the size 1x2x2.,mp-1195967_processed.cif
mp-1196244.cif,Create a supercell with the size 1x4x2.,mp-1196244_processed.cif
mp-1196468.cif,Create a supercell with the size 1X3X1.,mp-1196468_processed.cif
mp-1196513.cif,Create a supercell with the size 3x2x1.,mp-1196513_processed.cif
mp-1196514.cif,Create a supercell with the size 3X1X1.,mp-1196514_processed.cif
mp-1197108.cif,Create a supercell with the size 3×2×1.,mp-1197108_processed.cif
mp-1197227.cif,Create a supercell with the size 4X2X1.,mp-1197227_processed.cif
mp-1197238.cif,Create a supercell with the size 2×3×1.,mp-1197238_processed.cif
mp-1197636.cif,Create a supercell with the size 1 by 1 by 4.,mp-1197636_processed.cif
mp-1197877.cif,Create a supercell with the size 1×1×4.,mp-1197877_processed.cif
mp-1198057.cif,Create a supercell with the size 4X1X1.,mp-1198057_processed.cif
mp-1198140.cif,Create a supercell with the size 2X2X1.,mp-1198140_processed.cif
mp-1198411.cif,Create a supercell with the size 1 by 3 by 2.,mp-1198411_processed.cif
mp-1198574.cif,Create a supercell with the size 1×2×3.,mp-1198574_processed.cif
mp-1198593.cif,Create a supercell with the size 3 by 2 by 1.,mp-1198593_processed.cif
mp-1198603.cif,Create a supercell with the size 2X1X2.,mp-1198603_processed.cif
mp-1198841.cif,Create a supercell with the size 2*3*1.,mp-1198841_processed.cif
mp-1199018.cif,Create a supercell with the size 2X2X2.,mp-1199018_processed.cif
mp-1199088.cif,Create a supercell with the size 1×1×2.,mp-1199088_processed.cif
mp-1199566.cif,Create a supercell with the size 1×4×2.,mp-1199566_processed.cif
mp-1199672.cif,Create a supercell with the size 3×1×1.,mp-1199672_processed.cif
mp-1200359.cif,Create a supercell with the size 2*1*2.,mp-1200359_processed.cif
mp-1200542.cif,Create a supercell with the size 3X1X1.,mp-1200542_processed.cif
mp-1200692.cif,Create a supercell with the size 4×2×1.,mp-1200692_processed.cif
mp-1200758.cif,Create a supercell with the size 2x3x1.,mp-1200758_processed.cif
mp-1201497.cif,Create a supercell with the size 2x1x3.,mp-1201497_processed.cif
mp-1201607.cif,Create a supercell with the size 1*2*1.,mp-1201607_processed.cif
mp-1201876.cif,Create a supercell with the size 4x1x2.,mp-1201876_processed.cif
mp-1201895.cif,Create a supercell with the size 1×4×2.,mp-1201895_processed.cif
mp-1202389.cif,Create a supercell with the size 3 by 1 by 1.,mp-1202389_processed.cif
mp-1202709.cif,Create a supercell with the size 2x1x3.,mp-1202709_processed.cif
mp-1202898.cif,Create a supercell with the size 2x2x2.,mp-1202898_processed.cif
mp-1202901.cif,Create a supercell with the size 1*2*3.,mp-1202901_processed.cif
mp-1203035.cif,Create a supercell with the size 1*2*2.,mp-1203035_processed.cif
mp-1203146.cif,Create a supercell with the size 2x3x1.,mp-1203146_processed.cif
mp-1203196.cif,Create a supercell with the size 1*2*3.,mp-1203196_processed.cif
mp-1203220.cif,Create a supercell with the size 3 by 1 by 1.,mp-1203220_processed.cif
mp-1203746.cif,Create a supercell with the size 4*1*1.,mp-1203746_processed.cif
mp-1203808.cif,Create a supercell with the size 1 by 2 by 2.,mp-1203808_processed.cif
mp-1203996.cif,Create a supercell with the size 2x3x1.,mp-1203996_processed.cif
mp-1204064.cif,Create a supercell with the size 1X1X4.,mp-1204064_processed.cif
mp-1204087.cif,Create a supercell with the size 2x2x1.,mp-1204087_processed.cif
mp-1204178.cif,Create a supercell with the size 3X2X1.,mp-1204178_processed.cif
mp-1204195.cif,Create a supercell with the size 1*2*2.,mp-1204195_processed.cif
mp-1204482.cif,Create a supercell with the size 2x1x1.,mp-1204482_processed.cif
mp-1204573.cif,Create a supercell with the size 1×2×1.,mp-1204573_processed.cif
mp-1204620.cif,Create a supercell with the size 1*4*1.,mp-1204620_processed.cif
mp-1204800.cif,Create a supercell with the size 1 by 2 by 3.,mp-1204800_processed.cif
mp-1205388.cif,Create a supercell with the size 1 by 3 by 2.,mp-1205388_processed.cif
mp-1205391.cif,Create a supercell with the size 1×2×1.,mp-1205391_processed.cif
mp-1205393.cif,Create a supercell with the size 4x1x2.,mp-1205393_processed.cif
mp-1205503.cif,Create a supercell with the size 1x1x4.,mp-1205503_processed.cif
mp-1205523.cif,Create a supercell with the size 3*2*1.,mp-1205523_processed.cif
mp-1205660.cif,Create a supercell with the size 1 by 3 by 2.,mp-1205660_processed.cif
mp-1205745.cif,Create a supercell with the size 4*2*1.,mp-1205745_processed.cif
mp-1205771.cif,Create a supercell with the size 4x1x2.,mp-1205771_processed.cif
mp-1206201.cif,Create a supercell with the size 1*2*4.,mp-1206201_processed.cif
mp-1206250.cif,Create a supercell with the size 1 by 4 by 1.,mp-1206250_processed.cif
mp-1206569.cif,Create a supercell with the size 2x2x2.,mp-1206569_processed.cif
mp-1206737.cif,Create a supercell with the size 3*1*1.,mp-1206737_processed.cif
mp-1207144.cif,Create a supercell with the size 2×1×1.,mp-1207144_processed.cif
mp-1207398.cif,Create a supercell with the size 1×3×1.,mp-1207398_processed.cif
mp-1207522.cif,Create a supercell with the size 2x2x1.,mp-1207522_processed.cif
mp-1207549.cif,Create a supercell with the size 2X2X2.,mp-1207549_processed.cif
mp-1207596.cif,Create a supercell with the size 1 by 2 by 1.,mp-1207596_processed.cif
mp-1207733.cif,Create a supercell with the size 4*1*2.,mp-1207733_processed.cif
mp-1207797.cif,Create a supercell with the size 2*2*1.,mp-1207797_processed.cif
mp-1207993.cif,Create a supercell with the size 2X2X1.,mp-1207993_processed.cif
mp-1208058.cif,Create a supercell with the size 4 by 2 by 1.,mp-1208058_processed.cif
mp-1208219.cif,Create a supercell with the size 1 by 1 by 4.,mp-1208219_processed.cif
mp-1208275.cif,Create a supercell with the size 1x2x4.,mp-1208275_processed.cif
mp-1208331.cif,Create a supercell with the size 1x2x2.,mp-1208331_processed.cif
mp-1208361.cif,Create a supercell with the size 2X1X3.,mp-1208361_processed.cif
mp-1208425.cif,Create a supercell with the size 1*3*1.,mp-1208425_processed.cif
mp-1208879.cif,Create a supercell with the size 1 by 2 by 2.,mp-1208879_processed.cif
mp-1209036.cif,Create a supercell with the size 1*1*2.,mp-1209036_processed.cif
mp-1209206.cif,Create a supercell with the size 1×4×2.,mp-1209206_processed.cif
mp-1209348.cif,Create a supercell with the size 4*1*2.,mp-1209348_processed.cif
mp-1209483.cif,Create a supercell with the size 1 by 1 by 4.,mp-1209483_processed.cif
mp-1209534.cif,Create a supercell with the size 1×4×2.,mp-1209534_processed.cif
mp-1209695.cif,Create a supercell with the size 1*1*3.,mp-1209695_processed.cif
mp-1210015.cif,Create a supercell with the size 2 by 1 by 1.,mp-1210015_processed.cif
mp-1210035.cif,Create a supercell with the size 1×1×4.,mp-1210035_processed.cif
mp-1210161.cif,Create a supercell with the size 2x1x2.,mp-1210161_processed.cif
mp-1210237.cif,Create a supercell with the size 2x1x3.,mp-1210237_processed.cif
mp-1210462.cif,Create a supercell with the size 1x2x4.,mp-1210462_processed.cif
mp-1210502.cif,Create a supercell with the size 2*1*3.,mp-1210502_processed.cif
mp-1210518.cif,Create a supercell with the size 2x2x2.,mp-1210518_processed.cif
mp-1210584.cif,Create a supercell with the size 1X2X4.,mp-1210584_processed.cif
mp-1211181.cif,Create a supercell with the size 1X2X4.,mp-1211181_processed.cif
mp-1211192.cif,Create a supercell with the size 1 by 2 by 1.,mp-1211192_processed.cif
mp-1211198.cif,Create a supercell with the size 2 by 1 by 3.,mp-1211198_processed.cif
mp-1211303.cif,Create a supercell with the size 1 by 2 by 1.,mp-1211303_processed.cif
mp-1211402.cif,Create a supercell with the size 3×1×2.,mp-1211402_processed.cif
mp-1211546.cif,Create a supercell with the size 1 by 3 by 2.,mp-1211546_processed.cif
mp-1211686.cif,Create a supercell with the size 2x2x1.,mp-1211686_processed.cif
mp-1211861.cif,Create a supercell with the size 3*2*1.,mp-1211861_processed.cif
mp-1211971.cif,Create a supercell with the size 1*1*3.,mp-1211971_processed.cif
mp-1212118.cif,Create a supercell with the size 2x1x3.,mp-1212118_processed.cif
mp-1212387.cif,Create a supercell with the size 2 by 1 by 4.,mp-1212387_processed.cif
mp-1212504.cif,Create a supercell with the size 2x2x1.,mp-1212504_processed.cif
mp-1212600.cif,Create a supercell with the size 1 by 1 by 3.,mp-1212600_processed.cif
mp-1212621.cif,Create a supercell with the size 1 by 3 by 2.,mp-1212621_processed.cif
mp-1212645.cif,Create a supercell with the size 2x3x1.,mp-1212645_processed.cif
mp-1212670.cif,Create a supercell with the size 2*1*2.,mp-1212670_processed.cif
mp-1212757.cif,Create a supercell with the size 1 by 2 by 1.,mp-1212757_processed.cif
mp-1213080.cif,Create a supercell with the size 2*3*1.,mp-1213080_processed.cif
mp-1213206.cif,Create a supercell with the size 4*1*2.,mp-1213206_processed.cif
mp-1213529.cif,Create a supercell with the size 1×2×3.,mp-1213529_processed.cif
mp-1213562.cif,Create a supercell with the size 2 by 2 by 1.,mp-1213562_processed.cif
mp-1213790.cif,Create a supercell with the size 2×2×2.,mp-1213790_processed.cif
mp-1214336.cif,Create a supercell with the size 3×1×2.,mp-1214336_processed.cif
mp-1214464.cif,Create a supercell with the size 4x1x1.,mp-1214464_processed.cif
mp-1214610.cif,Create a supercell with the size 3×2×1.,mp-1214610_processed.cif
mp-1214788.cif,Create a supercell with the size 4x2x1.,mp-1214788_processed.cif
mp-1214890.cif,Create a supercell with the size 2 by 1 by 1.,mp-1214890_processed.cif
